# of model parameters: 11181642
--------------------- Training -------------------------------

Training Epoch: [1 | 200] LR: 0.001000
[epoch: 1] (1/938) | Loss: 2.6351 | top1: 28.1250 | top5: 59.3750 
[epoch: 1] (11/938) | Loss: 0.9769 | top1: 64.2045 | top5: 92.3295 
[epoch: 1] (21/938) | Loss: 0.7440 | top1: 71.2054 | top5: 95.4613 
[epoch: 1] (31/938) | Loss: 0.6226 | top1: 76.3609 | top5: 96.8750 
[epoch: 1] (41/938) | Loss: 0.5358 | top1: 79.7637 | top5: 97.5229 
[epoch: 1] (51/938) | Loss: 0.4774 | top1: 82.1691 | top5: 98.0086 
[epoch: 1] (61/938) | Loss: 0.4391 | top1: 84.0420 | top5: 98.3350 
[epoch: 1] (71/938) | Loss: 0.4060 | top1: 85.5414 | top5: 98.5695 
[epoch: 1] (81/938) | Loss: 0.3751 | top1: 86.9020 | top5: 98.7076 
[epoch: 1] (91/938) | Loss: 0.3551 | top1: 87.9121 | top5: 98.8324 
[epoch: 1] (101/938) | Loss: 0.3388 | top1: 88.6293 | top5: 98.9480 
[epoch: 1] (111/938) | Loss: 0.3271 | top1: 89.0484 | top5: 99.0006 
[epoch: 1] (121/938) | Loss: 0.3172 | top1: 89.5015 | top5: 99.0702 
[epoch: 1] (131/938) | Loss: 0.3076 | top1: 90.0763 | top5: 99.1412 
[epoch: 1] (141/938) | Loss: 0.2974 | top1: 90.3369 | top5: 99.1910 
[epoch: 1] (151/938) | Loss: 0.2872 | top1: 90.7078 | top5: 99.2343 
[epoch: 1] (161/938) | Loss: 0.2768 | top1: 91.1394 | top5: 99.2818 
[epoch: 1] (171/938) | Loss: 0.2682 | top1: 91.4382 | top5: 99.3238 
[epoch: 1] (181/938) | Loss: 0.2587 | top1: 91.7559 | top5: 99.3612 
[epoch: 1] (191/938) | Loss: 0.2544 | top1: 91.9830 | top5: 99.3946 
[epoch: 1] (201/938) | Loss: 0.2467 | top1: 92.3119 | top5: 99.4248 
