Dataset: CIFAR10.
Files already downloaded and verified
Files already downloaded and verified
The number of class in our training set is  10
Batch size: 64 Number of channels: 3 input height: 32 input width: 32
# of model parameters: 11181642
<class 'models.resnet.ResNet'>
[epoch: 1] (1/782) | Loss: 5.3061 | top1: 14.0625 | top5: 57.8125
[epoch: 1] (11/782) | Loss: 5.0567 | top1: 19.7443 | top5: 67.3295
[epoch: 1] (21/782) | Loss: 5.1637 | top1: 21.3542 | top5: 66.6667
[epoch: 1] (31/782) | Loss: 5.0542 | top1: 22.3790 | top5: 69.8589
[epoch: 1] (41/782) | Loss: 4.8891 | top1: 25.4954 | top5: 73.3613
[epoch: 1] (51/782) | Loss: 4.7513 | top1: 27.7267 | top5: 75.6434
[epoch: 1] (61/782) | Loss: 4.6201 | top1: 29.9436 | top5: 78.0482
[epoch: 1] (71/782) | Loss: 4.5182 | top1: 31.9982 | top5: 79.5555
[epoch: 1] (81/782) | Loss: 4.4472 | top1: 33.1211 | top5: 80.6520
[epoch: 1] (91/782) | Loss: 4.3796 | top1: 34.0831 | top5: 81.9883
[epoch: 1] (101/782) | Loss: 4.3297 | top1: 34.7308 | top5: 82.8589
[epoch: 1] (111/782) | Loss: 4.2831 | top1: 35.3181 | top5: 83.5726
[epoch: 1] (121/782) | Loss: 4.2372 | top1: 36.0279 | top5: 84.2071
[epoch: 1] (131/782) | Loss: 4.1960 | top1: 36.7963 | top5: 84.7686
[epoch: 1] (141/782) | Loss: 4.1544 | top1: 37.6773 | top5: 85.3280
[epoch: 1] (151/782) | Loss: 4.1152 | top1: 38.3278 | top5: 85.9685
[epoch: 1] (161/782) | Loss: 4.0905 | top1: 38.6452 | top5: 86.2481
[34m[1mwandb[39m[22m: Ctrl + C detected. Stopping sweep.
