Dataset: CIFAR10.
Files already downloaded and verified
Files already downloaded and verified
10
The number of class in our training set is  10
Batch size: 2048 Number of channels: 3 input height: 32 input width: 32
# of model parameters: 11181642
<class 'models.resnet.ResNet'>
[epoch: 1] (1/25) | Loss: 5.3690 | top1: 12.6953 | top5: 50.2441
[epoch: 1] (11/25) | Loss: 4.9374 | top1: 25.2797 | top5: 75.4838
[epoch: 1] (21/25) | Loss: 4.6879 | top1: 28.1785 | top5: 78.2622
[epoch: 2] (1/25) | Loss: 3.9399 | top1: 42.1387 | top5: 89.4043
[epoch: 2] (11/25) | Loss: 3.7395 | top1: 47.6429 | top5: 92.6048
[epoch: 2] (21/25) | Loss: 3.5624 | top1: 52.5832 | top5: 94.0895
[epoch: 3] (1/25) | Loss: 3.0836 | top1: 67.4316 | top5: 97.2656
[epoch: 3] (11/25) | Loss: 3.0743 | top1: 65.7227 | top5: 96.6575
[epoch: 3] (21/25) | Loss: 2.9945 | top1: 67.4084 | top5: 97.2261
[epoch: 4] (1/25) | Loss: 2.7466 | top1: 73.2910 | top5: 98.5352
[epoch: 4] (11/25) | Loss: 2.7179 | top1: 73.3088 | top5: 98.4508
[epoch: 4] (21/25) | Loss: 2.6692 | top1: 74.0978 | top5: 98.5026
[epoch: 5] (1/25) | Loss: 2.4267 | top1: 80.7617 | top5: 99.1699
[epoch: 5] (11/25) | Loss: 2.4144 | top1: 80.2113 | top5: 99.2809
[epoch: 5] (21/25) | Loss: 2.3958 | top1: 79.6782 | top5: 99.1978
[epoch: 6] (1/25) | Loss: 2.2388 | top1: 82.9102 | top5: 99.6094
[epoch: 6] (11/25) | Loss: 2.2580 | top1: 81.4364 | top5: 99.4229
[epoch: 6] (21/25) | Loss: 2.2192 | top1: 81.8173 | top5: 99.4559
[epoch: 7] (1/25) | Loss: 1.9968 | top1: 87.4023 | top5: 99.9512
[epoch: 7] (11/25) | Loss: 2.0817 | top1: 84.0110 | top5: 99.5872
[epoch: 7] (21/25) | Loss: 2.0825 | top1: 83.1659 | top5: 99.6326
[epoch: 8] (1/25) | Loss: 1.8809 | top1: 89.7461 | top5: 99.8535
[epoch: 8] (11/25) | Loss: 1.8623 | top1: 89.5819 | top5: 99.8935
[epoch: 8] (21/25) | Loss: 1.8746 | top1: 88.3138 | top5: 99.8465
[epoch: 9] (1/25) | Loss: 1.7964 | top1: 89.3555 | top5: 99.9512
[epoch: 9] (11/25) | Loss: 1.8317 | top1: 87.6376 | top5: 99.7647
[epoch: 9] (21/25) | Loss: 1.8169 | top1: 87.6418 | top5: 99.8070
[epoch: 10] (1/25) | Loss: 1.6840 | top1: 90.9180 | top5: 99.8535
[epoch: 10] (11/25) | Loss: 1.7167 | top1: 89.1957 | top5: 99.9157
[epoch: 10] (21/25) | Loss: 1.6880 | top1: 89.8019 | top5: 99.9279
[epoch: 11] (1/25) | Loss: 1.6200 | top1: 90.5762 | top5: 99.9023
[epoch: 11] (11/25) | Loss: 1.5844 | top1: 91.6282 | top5: 99.9689
[epoch: 11] (21/25) | Loss: 1.5713 | top1: 91.7225 | top5: 99.9674
[epoch: 12] (1/25) | Loss: 1.6232 | top1: 87.9395 | top5: 99.8047
[epoch: 12] (11/25) | Loss: 1.5997 | top1: 89.0403 | top5: 99.8935
[epoch: 12] (21/25) | Loss: 1.5393 | top1: 90.8529 | top5: 99.9279
[epoch: 13] (1/25) | Loss: 1.4871 | top1: 91.2598 | top5: 99.9512
[epoch: 13] (11/25) | Loss: 1.4397 | top1: 92.8356 | top5: 99.9867
[epoch: 13] (21/25) | Loss: 1.4358 | top1: 92.5735 | top5: 99.9837
[epoch: 14] (1/25) | Loss: 1.3155 | top1: 96.0938 | top5: 99.9512
[epoch: 14] (11/25) | Loss: 1.3064 | top1: 96.0316 | top5: 99.9822
[epoch: 14] (21/25) | Loss: 1.3241 | top1: 94.9172 | top5: 99.9837
[epoch: 15] (1/25) | Loss: 1.5213 | top1: 87.3047 | top5: 99.8535
[epoch: 15] (11/25) | Loss: 1.3607 | top1: 92.3961 | top5: 99.8890
[epoch: 15] (21/25) | Loss: 1.3340 | top1: 92.9013 | top5: 99.9256
[epoch: 16] (1/25) | Loss: 1.6521 | top1: 81.9824 | top5: 99.8047
[epoch: 16] (11/25) | Loss: 1.3216 | top1: 92.1298 | top5: 99.9512
[epoch: 16] (21/25) | Loss: 1.2737 | top1: 93.4291 | top5: 99.9744
[epoch: 17] (1/25) | Loss: 1.2002 | top1: 95.3613 | top5: 100.0000
[epoch: 17] (11/25) | Loss: 1.2470 | top1: 93.0531 | top5: 99.9467
[epoch: 17] (21/25) | Loss: 1.2370 | top1: 92.9362 | top5: 99.9651
[epoch: 18] (1/25) | Loss: 1.1656 | top1: 94.9219 | top5: 100.0000
[epoch: 18] (11/25) | Loss: 1.1775 | top1: 93.9631 | top5: 99.9778
[epoch: 18] (21/25) | Loss: 1.1453 | top1: 94.8637 | top5: 99.9860
[epoch: 19] (1/25) | Loss: 1.1047 | top1: 95.4590 | top5: 100.0000
[epoch: 19] (11/25) | Loss: 1.1658 | top1: 92.8489 | top5: 99.9778
[epoch: 19] (21/25) | Loss: 1.1595 | top1: 92.8409 | top5: 99.9744
[epoch: 20] (1/25) | Loss: 1.0635 | top1: 95.2148 | top5: 100.0000
[epoch: 20] (11/25) | Loss: 1.0560 | top1: 95.4501 | top5: 99.9822
[epoch: 20] (21/25) | Loss: 1.0679 | top1: 94.8777 | top5: 99.9884
[epoch: 21] (1/25) | Loss: 1.0330 | top1: 94.8242 | top5: 100.0000
[epoch: 21] (11/25) | Loss: 1.0221 | top1: 95.6055 | top5: 99.9822
[epoch: 21] (21/25) | Loss: 1.0655 | top1: 94.1709 | top5: 99.9512
[epoch: 22] (1/25) | Loss: 1.1380 | top1: 90.9180 | top5: 99.9023
[epoch: 22] (11/25) | Loss: 1.0408 | top1: 93.6657 | top5: 99.9600
[epoch: 22] (21/25) | Loss: 1.0104 | top1: 94.4917 | top5: 99.9767
[epoch: 23] (1/25) | Loss: 0.9848 | top1: 94.3848 | top5: 100.0000
[epoch: 23] (11/25) | Loss: 1.0202 | top1: 93.0442 | top5: 99.9867
[epoch: 23] (21/25) | Loss: 0.9774 | top1: 94.3894 | top5: 99.9884
[epoch: 24] (1/25) | Loss: 0.9965 | top1: 92.9199 | top5: 100.0000
[epoch: 24] (11/25) | Loss: 0.9659 | top1: 94.0607 | top5: 99.9867
[epoch: 24] (21/25) | Loss: 0.9660 | top1: 93.8732 | top5: 99.9605
[epoch: 25] (1/25) | Loss: 0.9912 | top1: 92.5293 | top5: 99.9512
[epoch: 25] (11/25) | Loss: 0.9641 | top1: 93.3638 | top5: 99.9512
[epoch: 25] (21/25) | Loss: 0.9461 | top1: 93.6988 | top5: 99.9605
[epoch: 26] (1/25) | Loss: 0.9402 | top1: 92.7734 | top5: 100.0000
[epoch: 26] (11/25) | Loss: 0.9067 | top1: 94.1495 | top5: 99.9867
[epoch: 26] (21/25) | Loss: 0.9274 | top1: 93.2013 | top5: 99.9767
[epoch: 27] (1/25) | Loss: 0.8427 | top1: 95.8984 | top5: 100.0000
[epoch: 27] (11/25) | Loss: 0.8284 | top1: 95.9783 | top5: 99.9956
[epoch: 27] (21/25) | Loss: 0.8353 | top1: 95.6403 | top5: 99.9953
[epoch: 28] (1/25) | Loss: 0.8911 | top1: 92.1875 | top5: 99.9512
[epoch: 28] (11/25) | Loss: 0.8480 | top1: 94.2072 | top5: 99.9911
[epoch: 28] (21/25) | Loss: 0.8316 | top1: 94.8591 | top5: 99.9791
[epoch: 29] (1/25) | Loss: 0.8049 | top1: 95.4102 | top5: 100.0000
[epoch: 29] (11/25) | Loss: 0.7860 | top1: 95.5167 | top5: 99.9867
[epoch: 29] (21/25) | Loss: 0.7728 | top1: 95.9380 | top5: 99.9837
[epoch: 30] (1/25) | Loss: 0.8656 | top1: 91.7969 | top5: 100.0000
[epoch: 30] (11/25) | Loss: 0.7837 | top1: 94.8553 | top5: 99.9911
[epoch: 30] (21/25) | Loss: 0.7697 | top1: 95.2358 | top5: 99.9953
[epoch: 31] (1/25) | Loss: 0.7756 | top1: 94.6289 | top5: 100.0000
[epoch: 31] (11/25) | Loss: 0.8492 | top1: 91.7170 | top5: 99.9423
[epoch: 31] (21/25) | Loss: 0.8184 | top1: 92.6432 | top5: 99.9628
[epoch: 32] (1/25) | Loss: 0.8748 | top1: 89.5508 | top5: 99.9512
[epoch: 32] (11/25) | Loss: 0.7649 | top1: 93.8610 | top5: 99.9778
[epoch: 32] (21/25) | Loss: 0.7363 | top1: 94.8312 | top5: 99.9837
[epoch: 33] (1/25) | Loss: 0.7665 | top1: 93.0176 | top5: 100.0000
[epoch: 33] (11/25) | Loss: 0.7068 | top1: 95.5034 | top5: 99.9956
[epoch: 33] (21/25) | Loss: 0.7163 | top1: 94.9405 | top5: 99.9860
[epoch: 34] (1/25) | Loss: 0.7549 | top1: 93.1152 | top5: 99.9512
[epoch: 34] (11/25) | Loss: 0.7023 | top1: 94.8553 | top5: 99.9778
[epoch: 34] (21/25) | Loss: 0.6987 | top1: 94.8823 | top5: 99.9814
[epoch: 35] (1/25) | Loss: 0.7534 | top1: 92.5781 | top5: 100.0000
[epoch: 35] (11/25) | Loss: 0.7389 | top1: 93.1241 | top5: 99.9467
[epoch: 35] (21/25) | Loss: 0.7629 | top1: 92.3758 | top5: 99.9372
[epoch: 36] (1/25) | Loss: 0.7640 | top1: 91.9434 | top5: 100.0000
[epoch: 36] (11/25) | Loss: 0.7330 | top1: 92.8800 | top5: 99.9512
[epoch: 36] (21/25) | Loss: 0.7262 | top1: 92.8316 | top5: 99.9605
[epoch: 37] (1/25) | Loss: 0.7243 | top1: 92.8711 | top5: 100.0000
[epoch: 37] (11/25) | Loss: 0.7105 | top1: 93.0531 | top5: 99.9556
[epoch: 37] (21/25) | Loss: 0.6815 | top1: 94.0290 | top5: 99.9721
[epoch: 38] (1/25) | Loss: 0.6569 | top1: 94.4824 | top5: 100.0000
[epoch: 38] (11/25) | Loss: 0.5948 | top1: 96.6664 | top5: 100.0000
[epoch: 38] (21/25) | Loss: 0.5854 | top1: 96.9215 | top5: 99.9977
[epoch: 39] (1/25) | Loss: 0.5694 | top1: 97.1191 | top5: 100.0000
[epoch: 39] (11/25) | Loss: 0.5654 | top1: 97.2035 | top5: 100.0000
[epoch: 39] (21/25) | Loss: 0.5557 | top1: 97.4912 | top5: 100.0000
[epoch: 40] (1/25) | Loss: 0.5448 | top1: 97.6074 | top5: 100.0000
[epoch: 40] (11/25) | Loss: 0.5379 | top1: 97.7628 | top5: 99.9911
[epoch: 40] (21/25) | Loss: 0.5522 | top1: 97.0494 | top5: 99.9930
[epoch: 41] (1/25) | Loss: 0.5916 | top1: 94.8242 | top5: 99.9512
[epoch: 41] (11/25) | Loss: 0.5848 | top1: 95.2370 | top5: 99.9778
[epoch: 41] (21/25) | Loss: 0.5776 | top1: 95.3520 | top5: 99.9884
[epoch: 42] (1/25) | Loss: 0.5636 | top1: 95.6543 | top5: 100.0000
[epoch: 42] (11/25) | Loss: 0.5530 | top1: 95.8585 | top5: 99.9956
[epoch: 42] (21/25) | Loss: 0.5358 | top1: 96.5402 | top5: 99.9953
[epoch: 43] (1/25) | Loss: 0.4900 | top1: 98.3398 | top5: 100.0000
[epoch: 43] (11/25) | Loss: 0.5069 | top1: 97.3056 | top5: 99.9911
[epoch: 43] (21/25) | Loss: 0.5181 | top1: 96.7564 | top5: 99.9907
[epoch: 44] (1/25) | Loss: 0.5041 | top1: 97.3145 | top5: 100.0000
[epoch: 44] (11/25) | Loss: 0.5382 | top1: 95.7298 | top5: 99.9956
[epoch: 44] (21/25) | Loss: 0.5265 | top1: 95.9775 | top5: 99.9953
[epoch: 45] (1/25) | Loss: 0.5437 | top1: 95.1660 | top5: 100.0000
[epoch: 45] (11/25) | Loss: 0.4840 | top1: 97.3189 | top5: 100.0000
[epoch: 45] (21/25) | Loss: 0.4905 | top1: 96.9006 | top5: 99.9953
[epoch: 46] (1/25) | Loss: 0.4687 | top1: 97.3633 | top5: 100.0000
[epoch: 46] (11/25) | Loss: 0.4713 | top1: 97.4032 | top5: 99.9956
[epoch: 46] (21/25) | Loss: 0.4793 | top1: 97.0052 | top5: 99.9977
[epoch: 47] (1/25) | Loss: 0.4753 | top1: 96.3867 | top5: 100.0000
[epoch: 47] (11/25) | Loss: 0.4708 | top1: 96.8661 | top5: 100.0000
[epoch: 47] (21/25) | Loss: 0.4721 | top1: 96.7239 | top5: 99.9930
[epoch: 48] (1/25) | Loss: 0.4816 | top1: 96.0938 | top5: 100.0000
[epoch: 48] (11/25) | Loss: 0.4788 | top1: 96.3157 | top5: 99.9956
[epoch: 48] (21/25) | Loss: 0.4737 | top1: 96.3867 | top5: 99.9953
[epoch: 49] (1/25) | Loss: 0.4588 | top1: 96.7285 | top5: 100.0000
