# of model parameters: 8867442
--------------------- Training -------------------------------
Training Epoch: [1 | 1] LR: 0.001000
[epoch: 1] (1/1563) | Loss: 2.6913 | top1: 15.6250 | top5: 71.8750
[epoch: 1] (2/1563) | Loss: 2.6914 | top1: 12.5000 | top5: 62.5000
[epoch: 1] (3/1563) | Loss: 2.6551 | top1: 14.5833 | top5: 57.2917
[epoch: 1] (4/1563) | Loss: 2.6711 | top1: 14.8438 | top5: 53.9062
[epoch: 1] (5/1563) | Loss: 2.6045 | top1: 14.3750 | top5: 53.1250
[epoch: 1] (6/1563) | Loss: 2.5564 | top1: 14.5833 | top5: 54.6875
[epoch: 1] (7/1563) | Loss: 2.5222 | top1: 15.1786 | top5: 54.9107
[epoch: 1] (8/1563) | Loss: 2.4808 | top1: 14.0625 | top5: 54.6875
[epoch: 1] (9/1563) | Loss: 2.4582 | top1: 14.2361 | top5: 53.8194
[epoch: 1] (10/1563) | Loss: 2.4179 | top1: 14.3750 | top5: 54.0625
[epoch: 1] (11/1563) | Loss: 2.4057 | top1: 14.4886 | top5: 55.1136
[epoch: 1] (12/1563) | Loss: 2.3671 | top1: 15.8854 | top5: 56.7708
[epoch: 1] (13/1563) | Loss: 2.3639 | top1: 15.3846 | top5: 56.0096
[epoch: 1] (14/1563) | Loss: 2.3436 | top1: 15.6250 | top5: 56.2500
[epoch: 1] (15/1563) | Loss: 2.3226 | top1: 16.2500 | top5: 56.4583
[epoch: 1] (16/1563) | Loss: 2.3010 | top1: 16.0156 | top5: 56.6406
[epoch: 1] (17/1563) | Loss: 2.2975 | top1: 15.9926 | top5: 56.8015
[epoch: 1] (18/1563) | Loss: 2.2876 | top1: 16.1458 | top5: 57.4653
[epoch: 1] (19/1563) | Loss: 2.2749 | top1: 16.1184 | top5: 57.5658
[epoch: 1] (20/1563) | Loss: 2.2640 | top1: 17.1875 | top5: 58.4375
[epoch: 1] (21/1563) | Loss: 2.2637 | top1: 17.4107 | top5: 58.0357
[epoch: 1] (22/1563) | Loss: 2.2703 | top1: 17.0455 | top5: 57.9545
[epoch: 1] (23/1563) | Loss: 2.2593 | top1: 17.7989 | top5: 58.4239
[epoch: 1] (24/1563) | Loss: 2.2457 | top1: 18.2292 | top5: 58.5938
[epoch: 1] (25/1563) | Loss: 2.2274 | top1: 18.8750 | top5: 59.0000
[epoch: 1] (26/1563) | Loss: 2.2204 | top1: 19.3510 | top5: 59.6154
[epoch: 1] (27/1563) | Loss: 2.2202 | top1: 19.0972 | top5: 59.7222
[epoch: 1] (28/1563) | Loss: 2.2224 | top1: 18.8616 | top5: 59.3750
[epoch: 1] (29/1563) | Loss: 2.2000 | top1: 19.2888 | top5: 59.5905
[epoch: 1] (30/1563) | Loss: 2.1821 | top1: 19.4792 | top5: 59.8958
[epoch: 1] (31/1563) | Loss: 2.1847 | top1: 19.4556 | top5: 60.3831
[epoch: 1] (32/1563) | Loss: 2.1831 | top1: 19.5312 | top5: 60.8398
[epoch: 1] (33/1563) | Loss: 2.1763 | top1: 19.9811 | top5: 61.4583
[epoch: 1] (34/1563) | Loss: 2.1704 | top1: 20.1287 | top5: 61.3971
[epoch: 1] (35/1563) | Loss: 2.1677 | top1: 20.1786 | top5: 61.7857
[epoch: 1] (36/1563) | Loss: 2.1601 | top1: 20.3125 | top5: 61.8924
[epoch: 1] (37/1563) | Loss: 2.1592 | top1: 20.5236 | top5: 61.8243
