
--------------------- Evaluating -------------------------------
[epoch: 1] | collapsemetric: 2.3067 | ETF metric: 0.0000 | WH metric: 0.6353 | Wh_b metric: 0.8803
[epoch: 1] | train top1: 58.9660 | train top5: 95.4660 | test top1: 57.2800 | test top5: 95.1300
[epoch: 1] | train top1: 56.0000 | train top5: 93.0320 | test top1: 55.0800 | test top5: 92.6700  (nearest neighbor accuracy)
[epoch: 2] | collapsemetric: 1.3702 | ETF metric: 0.0000 | WH metric: 0.5205 | Wh_b metric: 0.9755
[epoch: 2] | train top1: 69.0780 | train top5: 97.0540 | test top1: 65.9700 | test top5: 96.2200
[epoch: 2] | train top1: 67.0260 | train top5: 96.2660 | test top1: 63.7900 | test top5: 95.5200  (nearest neighbor accuracy)
[epoch: 3] | collapsemetric: 1.0926 | ETF metric: 0.0000 | WH metric: 0.5295 | Wh_b metric: 0.8379
[epoch: 3] | train top1: 72.4120 | train top5: 97.5620 | test top1: 67.9400 | test top5: 96.6900
[epoch: 3] | train top1: 69.8840 | train top5: 97.3180 | test top1: 65.8600 | test top5: 96.2800  (nearest neighbor accuracy)
[epoch: 4] | collapsemetric: 0.8553 | ETF metric: 0.0000 | WH metric: 0.5290 | Wh_b metric: 0.8381
[epoch: 4] | train top1: 76.8640 | train top5: 98.4500 | test top1: 71.0500 | test top5: 97.4400
[epoch: 4] | train top1: 73.4680 | train top5: 97.9340 | test top1: 68.0100 | test top5: 96.7900  (nearest neighbor accuracy)
[epoch: 5] | collapsemetric: 0.7717 | ETF metric: 0.0000 | WH metric: 0.5535 | Wh_b metric: 1.0728
[epoch: 5] | train top1: 75.5900 | train top5: 98.5360 | test top1: 69.3800 | test top5: 97.4200
[epoch: 5] | train top1: 70.8820 | train top5: 98.0240 | test top1: 64.9500 | test top5: 96.7300  (nearest neighbor accuracy)
[epoch: 6] | collapsemetric: 0.6285 | ETF metric: 0.0000 | WH metric: 0.4902 | Wh_b metric: 0.9831
[epoch: 6] | train top1: 82.5600 | train top5: 99.0220 | test top1: 74.4700 | test top5: 97.8600
[epoch: 6] | train top1: 81.1520 | train top5: 98.4380 | test top1: 73.3200 | test top5: 97.0500  (nearest neighbor accuracy)
[epoch: 7] | collapsemetric: 0.5596 | ETF metric: 0.0000 | WH metric: 0.4747 | Wh_b metric: 0.9228
[epoch: 7] | train top1: 83.6200 | train top5: 99.2540 | test top1: 74.3700 | test top5: 97.9200
[epoch: 7] | train top1: 80.2260 | train top5: 98.7120 | test top1: 71.5500 | test top5: 97.3000  (nearest neighbor accuracy)
[epoch: 8] | collapsemetric: 0.4938 | ETF metric: 0.0000 | WH metric: 0.4790 | Wh_b metric: 0.8960
[epoch: 8] | train top1: 86.2360 | train top5: 99.4040 | test top1: 75.3400 | test top5: 98.2800
[epoch: 8] | train top1: 83.7800 | train top5: 99.1680 | test top1: 73.3400 | test top5: 97.6300  (nearest neighbor accuracy)
[epoch: 9] | collapsemetric: 0.4132 | ETF metric: 0.0000 | WH metric: 0.4095 | Wh_b metric: 0.5923
[epoch: 9] | train top1: 87.1440 | train top5: 99.5000 | test top1: 76.6100 | test top5: 98.0200
[epoch: 9] | train top1: 85.7380 | train top5: 99.2520 | test top1: 75.9100 | test top5: 97.7000  (nearest neighbor accuracy)
[epoch: 10] | collapsemetric: 0.4209 | ETF metric: 0.0000 | WH metric: 0.4414 | Wh_b metric: 0.7261
[epoch: 10] | train top1: 86.9460 | train top5: 99.4920 | test top1: 74.9000 | test top5: 97.8900
[epoch: 10] | train top1: 84.3260 | train top5: 99.3660 | test top1: 73.2800 | test top5: 97.6600  (nearest neighbor accuracy)
[epoch: 11] | collapsemetric: 0.3326 | ETF metric: 0.0000 | WH metric: 0.3743 | Wh_b metric: 0.7405
[epoch: 11] | train top1: 91.6080 | train top5: 99.7220 | test top1: 77.5700 | test top5: 98.1400
[epoch: 11] | train top1: 90.6240 | train top5: 99.6660 | test top1: 76.8400 | test top5: 98.0800  (nearest neighbor accuracy)
[epoch: 12] | collapsemetric: 0.3372 | ETF metric: 0.0000 | WH metric: 0.3742 | Wh_b metric: 0.8430
[epoch: 12] | train top1: 91.2980 | train top5: 99.7460 | test top1: 76.9000 | test top5: 98.0000
[epoch: 12] | train top1: 90.1420 | train top5: 99.6480 | test top1: 75.9300 | test top5: 97.8200  (nearest neighbor accuracy)
[epoch: 13] | collapsemetric: 0.3231 | ETF metric: 0.0000 | WH metric: 0.3589 | Wh_b metric: 0.5823
[epoch: 13] | train top1: 91.5840 | train top5: 99.7400 | test top1: 75.4300 | test top5: 97.8200
[epoch: 13] | train top1: 90.2840 | train top5: 99.6460 | test top1: 74.9700 | test top5: 97.7600  (nearest neighbor accuracy)
[epoch: 14] | collapsemetric: 0.2858 | ETF metric: 0.0000 | WH metric: 0.3681 | Wh_b metric: 0.6535
[epoch: 14] | train top1: 93.4220 | train top5: 99.8160 | test top1: 76.5300 | test top5: 97.9600
[epoch: 14] | train top1: 92.6340 | train top5: 99.7360 | test top1: 76.2400 | test top5: 97.8300  (nearest neighbor accuracy)
[epoch: 15] | collapsemetric: 0.3189 | ETF metric: 0.0000 | WH metric: 0.3357 | Wh_b metric: 0.6421
[epoch: 15] | train top1: 91.1980 | train top5: 99.7440 | test top1: 74.8200 | test top5: 97.4900
[epoch: 15] | train top1: 90.6460 | train top5: 99.6780 | test top1: 74.4700 | test top5: 97.6100  (nearest neighbor accuracy)
[epoch: 16] | collapsemetric: 0.2801 | ETF metric: 0.0000 | WH metric: 0.3280 | Wh_b metric: 0.6499
[epoch: 16] | train top1: 93.2400 | train top5: 99.8620 | test top1: 76.3500 | test top5: 97.8400
[epoch: 16] | train top1: 92.3240 | train top5: 99.7360 | test top1: 75.8700 | test top5: 97.5500  (nearest neighbor accuracy)
[epoch: 17] | collapsemetric: 0.2538 | ETF metric: 0.0000 | WH metric: 0.3147 | Wh_b metric: 0.4831
[epoch: 17] | train top1: 94.1080 | train top5: 99.8800 | test top1: 76.4200 | test top5: 98.1100
[epoch: 17] | train top1: 93.8360 | train top5: 99.8480 | test top1: 75.9200 | test top5: 98.0500  (nearest neighbor accuracy)
[epoch: 18] | collapsemetric: 0.2776 | ETF metric: 0.0000 | WH metric: 0.2970 | Wh_b metric: 0.6620
[epoch: 18] | train top1: 92.8340 | train top5: 99.8340 | test top1: 74.9000 | test top5: 97.6400
[epoch: 18] | train top1: 92.4440 | train top5: 99.7720 | test top1: 74.6200 | test top5: 97.4000  (nearest neighbor accuracy)
[epoch: 19] | collapsemetric: 0.2678 | ETF metric: 0.0000 | WH metric: 0.3248 | Wh_b metric: 0.7022
[epoch: 19] | train top1: 93.6600 | train top5: 99.8920 | test top1: 75.2500 | test top5: 97.6800
[epoch: 19] | train top1: 92.7800 | train top5: 99.8420 | test top1: 74.8000 | test top5: 97.5000  (nearest neighbor accuracy)
[epoch: 20] | collapsemetric: 0.2486 | ETF metric: 0.0000 | WH metric: 0.3019 | Wh_b metric: 0.8396
[epoch: 20] | train top1: 94.9420 | train top5: 99.9040 | test top1: 75.4500 | test top5: 97.5700
